id,cuisine,ingredients
4140,Mexican,mint cilantro cayenne lime_juice
4141,French,olive_oil lemon_juice ham mushroom shallot parsley garlic smoke chive porcini
4142,Thai,chicken garlic cilantro ginger
4143,Central_SouthAmerican,butter cane_molasses roasted_peanut cheese corn almond raisin anise_seed bread
4144,Indian,olive_oil scallion lime_juice cumin cayenne
4145,American,peanut_oil scallion cilantro lemon_juice mustard black_pepper tabasco_pepper cayenne lime bread shrimp egg cream
4146,American,tomato olive_oil onion cheese romano_cheese cayenne parsley garlic oregano macaroni
4147,Italian,olive_oil cayenne parsley white_wine scallop macaroni bell_pepper oregano garlic cream
4148,Asian,tomato vinegar cane_molasses rice celery_oil roasted_peanut shallot fish cayenne shrimp bean garlic vegetable_oil coriander scallion egg corn lime
4149,Italian,orange_peel wheat rum vanilla cocoa fruit cinnamon egg milk cream
4150,MiddleEastern,cane_molasses vinegar pepper meat onion potato raisin soy_sauce orange_juice black_pepper cumin fenugreek garlic bell_pepper chicken turmeric coriander tamarind rice olive_oil fig
4151,American,olive_oil lemon_juice lemon rosemary black_pepper shrimp garlic vegetable_oil egg
4152,Italian,tomato olive_oil fish cayenne basil bean garlic olive
4153,American,butter peanut cocoa
4154,American,orange_peel vinegar apple plum red_wine ginger garlic cinnamon
4155,Asian,radish rice ginger vinegar
4156,American,vinegar pepper tarragon olive_oil cherry red_wine salmon
4157,American,butter lemon_juice wheat yeast cherry orange_juice fruit almond cinnamon orange starch egg milk
4158,American,lemon_juice shallot black_pepper orange vegetable_oil egg
4159,Cajun_Creole,butter pepper green_bell_pepper mustard onion scallion vegetable_oil bread shrimp egg pork_sausage wine
4160,MiddleEastern,coriander thyme cumin chickpea seed sesame_seed
4161,American,olive_oil mushroom starch chicken_broth sage parsley garlic sherry nutmeg chicken leek
4162,American,butter tomato wheat celery_oil vinegar corn garlic frankfurter cheddar_cheese egg
4163,Jewish,vegetable_oil black_pepper egg
4164,Southwestern,tomato olive_oil onion corn cayenne cumin garlic bell_pepper coriander zucchini
4165,Chinese,pepper ham scallion garlic smoke vegetable_oil rice egg pea
4166,American,butter dill lemon_juice lemon thyme olive_oil fish chive
4167,Central_SouthAmerican,cocoa coffee vanilla cream
4168,Mexican,cane_molasses onion cayenne cumin bean seed garlic oregano vegetable_oil
4169,American,butter tomato lemon_juice tarragon shallot parsley white_wine clam garlic macaroni bay
4170,Asian,vegetable_oil wheat sesame_oil scallion
4171,American,coriander vinegar beef onion olive_oil shallot black_pepper cider cumin parsley bread
4172,Indian,lemon_juice mustard cayenne cumin shrimp vegetable_oil scallion turmeric
4173,Mexican,olive_oil cilantro onion vinegar avocado potato lime_juice parsley vegetable_oil tuna cream cider egg cayenne
4174,Cajun_Creole,butter bourbon_whiskey coconut starch vanilla pecan pineapple cream egg milk bread
4175,Asian,tomato okra onion cayenne black_pepper vegetable_oil
4176,American,orange_peel honey milk_fat cranberry rice milk
4177,American,butter wheat vanilla lard vegetable egg lime
4178,Spanish_Portuguese,pistachio vanilla milk_fat vegetable_oil egg milk cream
4179,American,coriander fenugreek pepper lemon_juice wheat olive_oil egg corn cumin milk_fat tomato vegetable_oil bread turmeric lettuce milk catfish
4180,Indian,butter wheat cardamom vanilla almond cinnamon
4181,Mexican,tomato olive_oil cilantro avocado corn lime_juice cayenne scallion garlic oregano chicken chicken_broth lime
4182,Spanish_Portuguese,olive_oil vinegar squash carrot garlic bell_pepper smoke sherry zucchini
4183,German,dill wheat mustard onion potato cider vinegar bacon scallion celery seed egg
4184,American,butter mushroom black_pepper lobster bell_pepper sherry egg cream
4185,Italian,tomato olive_oil grape_juice macaroni garlic
4186,American,vinegar lemon_juice olive_oil fish black_pepper white_wine celery bean garlic
4187,American,tomato cheese white_bread bacon butter
4188,Italian,olive_oil lemon_juice lemon chicory basil macaroni smoke mozzarella_cheese garlic
4189,Italian,tomato asparagus chicken_broth parmesan_cheese white_wine garlic bell_pepper oregano basil macaroni shrimp
4190,Jewish,olive_oil egg onion potato
4191,Italian,tomato olive_oil mushroom corn red_wine parsley parmesan_cheese fennel basil pork_sausage
4192,American,tomato butter
4193,Thai,tomato vinegar pepper lime_juice scallion rice mint lime
4194,Asian,vinegar pepper wheat meat honey garlic soybean mandarin rice egg milk
4195,MiddleEastern,tomato olive_oil garlic bell_pepper black_pepper
4196,American,butter wheat tarragon onion chicken_broth garlic cheddar_cheese broccoli cream
4197,French,brandy grape_juice egg peach white_wine
4198,MiddleEastern,lamb olive_oil carrot wheat onion thyme cayenne black_pepper saffron bay tomato chickpea tomato_juice turnip butter oregano rose pumpkin zucchini rosemary bell_pepper
4199,Mexican,pork onion cayenne cumin garlic vegetable_oil
4200,American,onion potato bacon parsley yam bell_pepper sweet_potato cream
4201,American,vinegar shallot black_pepper cider ginger garlic vegetable_oil
4202,Mexican,cayenne garlic oregano
4203,Italian,egg chicken_broth macaroni parsley parmesan_cheese
4204,American,apple raisin cinnamon cream egg milk bread
4205,Italian,olive_oil pepper macaroni garlic cayenne
4206,MiddleEastern,coriander fenugreek pepper wheat black_pepper cumin lamb cinnamon turmeric yogurt butter mint zucchini
4207,Spanish_Portuguese,olive_oil black_pepper thyme garlic
4208,Indian,cardamom saffron cinnamon vegetable_oil rice milk
4209,Italian,tomato olive_oil onion mushroom starch parsley parmesan_cheese white_wine macaroni oregano vegetable_oil basil garlic chicken shrimp
4210,American,tomato vinegar pork lemon_juice lemon celery_oil onion cider corn black_pepper cane_molasses honey horseradish garlic vegetable_oil tamarind mustard
4211,Italian,tomato olive_oil cayenne parmesan_cheese macaroni olive garlic
4212,American,olive_oil black_pepper beef rosemary
4213,Italian,tomato olive_oil lemon_juice mustard vinegar basil mozzarella_cheese sherry
4214,American,butter wheat yeast milk_fat seed sesame_seed egg milk
4215,Italian,wheat egg olive_oil
4216,Italian,tomato olive_oil onion cheese parmesan_cheese basil garlic mozzarella_cheese macaroni
4217,Asian,sesame_oil asparagus soy_sauce bell_pepper vegetable_oil sesame_seed
4218,Asian,coriander fenugreek pepper potato cayenne cumin ginger shrimp cilantro garlic turmeric vegetable_oil scallion pea lime
4219,Southern_SoulFood,olive_oil pepper lemon shallot corn_flake parsley bell_pepper chicken egg milk
4220,French,butter wheat cocoa milk_fat egg milk
4221,Asian,olive_oil soy_sauce cayenne garlic wine
4222,Italian,tomato olive_oil clam meat squid garlic parsley white_wine scallop lobster bell_pepper mussel basil macaroni shrimp
4223,French,butter olive_oil wheat orange_flower yeast anise_seed fruit egg
4224,American,cane_molasses cherry cinnamon cranberry
4225,Asian,coriander orange_peel cilantro sesame_oil beef soy_sauce black_pepper garlic bell_pepper chicken
4226,American,butter wheat thyme onion potato black_pepper cheddar_cheese egg cream
4227,French,honey brandy vanilla cream
4228,American,olive_oil garlic broccoli
4229,MiddleEastern,tomato olive_oil pepper wheat onion chicken_broth raisin cumin saffron chickpea cilantro nutmeg chicken zucchini
4230,American,bacon beef black_pepper rosemary garlic
4231,American,vinegar pepper cream sesame_oil onion vanilla cayenne cilantro parsnip wasabi carrot sesame_seed vegetable tuna rice seed bell_pepper
4232,Mediterranean,olive_oil vinegar red_wine cumin garlic olive bread
4233,Central_SouthAmerican,tomato olive_oil cilantro onion raisin corn cayenne scallion garlic pimento olive chicken cream
4234,American,cilantro roasted_peanut black_pepper fish cayenne ginger garlic pineapple vegetable_oil lime_juice
4235,Italian,lemon_juice black_pepper parmesan_cheese garlic rapeseed macaroni broccoli
4236,German,dill mustard onion potato bacon vinegar black_pepper white_wine
4237,Greek,tomato olive_oil lemon_juice feta_cheese lettuce cucumber oregano olive bread
4238,Asian,sesame_oil starch chicken_broth black_pepper ginger scallion crab vegetable_oil wine broccoli kale
4239,American,butter egg vanilla wheat
4240,Italian,tomato cheese olive_oil macaroni basil garlic
4241,French,butter olive_oil onion mushroom potato chicken_broth cayenne bay garlic chive cream
4242,Asian,olive_oil grape_juice sesame_oil starch soy_sauce parmesan_cheese honey chicory garlic vegetable mustard
4243,American,butter pepper onion soy_sauce orange_juice sesame_seed orange chicken
4244,American,olive_oil grape_juice thyme potato shallot fennel rosemary
4245,Asian,coriander fenugreek pepper fish cumin shrimp bean vegetable_oil rice coconut turmeric
4246,Thai,cilantro tarragon shallot fish squid lime_juice shrimp lettuce bell_pepper lemongrass
4247,Italian,tomato butter garlic onion
4248,Italian,vinegar pork tarragon shallot parmesan_cheese walnut grapefruit white_wine
4249,American,sage squash parmesan_cheese egg milk cream
4250,American,black_pepper lime_juice cumin garlic apricot vegetable_oil chicken cayenne
4251,American,butter bourbon_whiskey nutmeg sweet_potato orange cream
4252,Italian,olive_oil onion fish red_wine parsley olive broccoli
4253,Asian,olive_oil wheat beef onion black_pepper celery carrot garlic rosemary
4254,American,butter coconut wheat almond cocoa cinnamon egg milk cream
4255,Central_SouthAmerican,tomato cane_molasses cilantro white_bread cream onion chicken_broth cayenne garlic vegetable_oil chicken lime pumpkin
4256,Asian,coriander olive_oil shallot chicken_broth parsley rice turmeric
4257,Irish,vinegar beef potato scallion celery seed cucumber vegetable_oil egg
4258,American,butter olive_oil beef onion red_wine black_pepper parsley celery carrot garlic tomato chicken lentil
4259,American,butter bourbon_whiskey wheat corn milk walnut egg vanilla
4260,American,butter kale black_pepper parsley sweet_potato apple
4261,American,butter onion thyme chicken_broth sage celery rosemary bread
4262,Jewish,wheat yeast egg vegetable_oil
4263,American,turkey olive_oil cilantro wheat meat onion cheese cayenne cumin garlic tomato bell_pepper
4264,Central_SouthAmerican,tomato vinegar cilantro avocado celery_oil onion olive_oil lime_juice corn cayenne shrimp garlic cucumber lime
4265,American,tomato olive_oil black_pepper parmesan_cheese garlic basil mussel bread
4266,Italian,tomato olive_oil lemon_juice black_pepper macaroni basil garlic
4267,Chinese,vinegar beef starch soy_sauce ginger scallion garlic vegetable_oil cabbage rice oyster
4268,Mexican,cilantro onion apricot cayenne pineapple lime_juice
4269,Spanish_Portuguese,tomato olive_oil onion feta_cheese garlic bell_pepper egg
4270,American,vegetable_oil squid cayenne egg rice
4271,Japanese,clam soy_sauce ginger scallion barley soybean rice
4272,American,mustard egg tabasco_pepper honey seed vegetable_oil cabbage lemon_peel
4273,American,butter cheese pepper black_bean corn avocado
4274,Jewish,pepper wheat beef onion honey carrot beet sweet_potato turnip
4275,English_Scottish,butter orange_peel wheat buttermilk currant lard vegetable
4276,American,cane_molasses butter lemon_juice wheat vanilla cream_cheese raspberry cream
4277,American,butter vinegar pork marjoram beef onion starch sage chicken_broth black_pepper white_wine celery cider bread
4278,American,butter dill lovage lemon_juice mustard black_pepper ginger scallion cinnamon crab vegetable_oil bay egg bread
4279,Italian,olive_oil wheat mushroom yeast shiitake parmesan_cheese mozzarella_cheese goat_cheese chive milk whole_grain_wheat_flour
4280,Italian,coconut wheat lemon_peel almond cinnamon raspberry egg milk cream
4281,Spanish_Portuguese,tomato vinegar cilantro onion red_wine cayenne tomato_juice cucumber bell_pepper garlic
4282,French,olive_oil mustard thyme vinegar carrot black_pepper onion parsley celery smoked_sausage garlic smoke lentil bay wine
4283,American,vinegar lemon_juice dill avocado honey cucumber rice smoked_fish
4284,MiddleEastern,olive_oil cilantro lemon_juice cashew scallion vegetable cinnamon date brown_rice
4285,Asian,peanut_oil vinegar cilantro sesame_oil fish ginger garlic soy_sauce wine
4286,Spanish_Portuguese,vinegar red_wine black_pepper onion
4287,Thai,coconut lemon_juice wheat onion yeast black_pepper fish cayenne pork ginger scallion rice cilantro garlic clam chicken bay lemon_peel milk egg shrimp
4288,Mexican,tomato coriander onion cayenne cumin seed garlic mint
4289,Italian,onion parmesan_cheese white_wine chicory bean garlic vegetable rice leek
4290,American,butter egg wheat milk
4291,American,goat_cheese olive_oil beef
4292,American,vegetable_oil corn cayenne cumin
4293,American,corn orange_juice mint berry cranberry
4294,American,butter dill pork onion mushroom cream
4295,American,vinegar shallot walnut chicory beet goat_cheese sherry
4296,African,butter pepper thyme onion tabasco_pepper corn sage scallion celery bell_pepper wine chicken_broth pork_sausage bread
4297,Cajun_Creole,orange_peel grape apple onion black_pepper nut orange_juice pear lettuce grapefruit garlic date vegetable_oil yogurt egg cayenne
4298,American,lemon_juice feta_cheese ginger white_wine champagne_wine mint
4299,English_Scottish,butter egg vanilla wheat cream
4300,Italian,butter olive_oil pork pepper white_wine rosemary milk
4301,American,olive_oil lemon_juice fish parsley bean tuna
4302,Thai,shallot cayenne fish lime_juice garlic lemongrass
4303,Mediterranean,tomato olive_oil green_bell_pepper onion parsley lemon_juice cucumber mint
4304,American,butter vinegar wheat pear almond black_pepper black_raspberry lard egg
4305,American,tomato olive_oil lemon_juice cheese asparagus fish tabasco_pepper parsley squash garlic basil
4306,Mexican,butter coconut wheat onion yeast cayenne lime_juice cilantro oregano
4307,American,vanilla bitter_orange cocoa brandy cream_cheese orange egg
4308,French,lamb onion red_wine black_pepper parsley bay garlic rosemary
4309,American,cocoa egg milk cream
4310,American,basil olive_oil tomato feta_cheese
4311,Greek,tomato olive_oil lemon_juice feta_cheese parsley shrimp garlic artichoke oregano macaroni
4312,American,basil lemon_juice nectarine
4313,Jewish,chicken pepper onion
4314,American,provolone_cheese olive_oil white_bread meat vinegar shallot black_pepper cayenne white_wine cured_pork lettuce fennel garlic butter oregano olive bread wine ham
4315,Southern_SoulFood,wheat corn scallion buttermilk cheddar_cheese egg
4316,American,butter lemon_juice wheat peach vanilla cinnamon egg milk cream
4317,MiddleEastern,butter lemon_juice wheat yeast honey egg milk bread
4318,American,tomato vinegar lemon_juice celery_oil onion potato corn cayenne parsley shrimp garlic bell_pepper vegetable_oil
4319,American,tomato vinegar cane_molasses coriander nectarine fenugreek cider pepper cumin cilantro garlic vegetable_oil chicken turmeric
4320,American,coriander olive_oil cilantro onion beef black_pepper cayenne cumin
4321,American,butter olive_oil onion chicken_broth sage parmesan_cheese scallop truffle rice pumpkin
4322,American,butter milk_fat corn egg milk
4323,Greek,tomato olive_oil shallot leek anise white_wine fennel garlic bell_pepper shrimp ouzo
4324,Vietnamese,roasted_peanut onion shallot soy_sauce cayenne garlic soybean vegetable_oil lemongrass thai_pepper turmeric
4325,American,olive_oil lemon_juice lemon fish oregano olive vegetable_oil
4326,Asian,coconut rice lemongrass
4327,Italian,butter celery lemon_juice lemon thyme onion bacon chicken_broth cayenne parsley white_wine cured_pork black_pepper garlic rice pea
4328,Mexican,tomato olive_oil pepper onion cayenne corn black_pepper cumin squash garlic bell_pepper oregano vegetable_oil chicken cheddar_cheese whole_grain_wheat_flour zucchini
4329,American,butter orange_peel wheat vanilla bitter_orange cocoa brandy egg cream
4330,Italian,olive_oil nut raisin pepper onion
4331,American,cocoa gelatin vanilla butter milk
4332,American,butter tomato wheat thyme olive_oil parmesan_cheese lard egg
4333,Southern_SoulFood,corn_grit mozzarella_cheese
4334,Asian,sesame_oil soy_sauce lettuce garlic vegetable_oil wine
4335,American,olive_oil vinegar chicken_broth parmesan_cheese white_wine chicory garlic hazelnut chive
4336,American,gelatin raspberry lemon
4337,Vietnamese,cane_molasses roasted_peanut lime_juice fish cayenne ginger carrot garlic basil chicken mint cabbage lime
4338,Moroccan,lemon_juice almond ginger fennel seed chicken anise_seed parsley saffron sesame_seed cinnamon butter wheat cardamom black_pepper mace garlic coriander onion chicken_broth nutmeg bell_pepper egg
4339,Italian,tomato olive_oil onion romano_cheese fennel white_wine bean garlic bell_pepper macaroni pork_sausage
4340,Jewish,wheat vanilla walnut cocoa vegetable_oil egg
4341,American,olive_oil horseradish black_pepper mustard beef
4342,Mexican,olive_oil garlic onion cayenne
4343,Italian,milk_fat fennel egg milk cream
4344,Italian,butter wheat almond cocoa vegetable_oil egg cream
4345,American,olive_oil wheat lime_juice black_pepper scallion celery crab peanut vegetable_oil rice egg lime
4346,French,olive_oil lemon_juice thyme fish garlic olive rosemary bread
4347,Asian,beef sake soy_sauce scallion vegetable_oil wine
4348,American,sage pork black_pepper bell_pepper
4349,American,butter cane_molasses lemon_juice apple apricot brandy cinnamon
4350,Southern_SoulFood,butter vinegar wheat corn cayenne buttermilk bell_pepper cheddar_cheese egg
4351,American,olive_oil cauliflower chicken_broth cayenne parsley parmesan_cheese cured_pork garlic macaroni whole_grain_wheat_flour bread
4352,MiddleEastern,tomato olive_oil cilantro wheat onion cayenne soy_sauce lime_juice cumin walnut lettuce bean garlic vegetable_oil lime egg bread
4353,Asian,vinegar pepper sesame_oil starch peanut soy_sauce cayenne ginger scallion garlic vegetable_oil sherry chicken
4354,Greek,olive_oil lemon potato fish scallion milk_fat orange egg milk bread
4355,American,butter lovage lemon_juice mustard black_pepper ginger bay garlic cod basil cinnamon
4356,Vietnamese,butter cane_molasses pumpkin milk_fat nutmeg cinnamon cream egg milk bread
4357,Italian,olive_oil black_pepper
4358,American,tomato butter wheat mushroom onion chicken_broth parsley parmesan_cheese turkey swiss_cheese egg mustard
4359,American,butter cheese lemon_juice wheat buttermilk egg cream
4360,American,butter mushroom shallot parsley parmesan_cheese garlic cream egg milk oyster bread
4361,American,cane_molasses butter wheat rhubarb vanilla milk_fat cream egg milk whiskey
4362,Japanese,sake chicken green_bell_pepper soy_sauce
4363,Asian,milk_fat coffee egg coconut milk
4364,Jewish,coriander butter cilantro wheat onion fenugreek cumin ginger pepper yogurt vegetable_oil turmeric egg pea lime
4365,Chinese,cilantro sesame_oil fish ginger white_wine garlic soy_sauce
4366,American,butter olive_oil pepper green_bell_pepper onion thyme chicken_broth cayenne scallion celery wine egg corn pork_sausage bread
4367,Italian,tomato olive_oil onion vinegar cucumber basil bread pea wine
4368,American,tomato wheat thyme yeast parmesan_cheese basil oregano mozzarella_cheese rosemary broccoli
4369,American,tomato olive_oil marjoram beef garlic bell_pepper chicken
4370,Mexican,tomato olive_oil cilantro lemon_juice beef onion black_bean corn cayenne garlic oregano cheddar_cheese cream
4371,English_Scottish,butter coriander pepper grape_juice wheat fenugreek shallot pear cumin chicory lard chive turmeric egg cheese
4372,American,butter clam mustard shrimp garlic chive rice cream
4373,Mexican,tomato vinegar cilantro onion cheese radish corn black_pepper cayenne bay lettuce garlic oregano lime
4374,Japanese,lemon_juice soy_sauce avocado wasabi crab rice wine
4375,Greek,tomato olive_oil onion feta_cheese red_wine garlic oregano olive chicken
4376,American,cane_molasses butter wheat macadamia_nut corn yeast vanilla egg milk cream
4377,American,olive_oil lemon_juice mustard celery walnut honey apple
4378,American,butter wheat buttermilk blackberry raspberry cream
4379,Italian,clove flower starch almond pistachio orange egg
4380,American,butter cheese thyme gruyere_cheese corn bacon parmesan_cheese scallion smoke cheddar_cheese egg
4381,French,cocoa brandy egg bitter_orange cream
4382,American,olive_oil wine black_pepper mustard vinegar
4383,American,turkey thyme onion egg_noodle celery carrot vegetable_oil pea meat
4384,French,butter olive_oil asparagus black_pepper parmesan_cheese fruit
4385,Italian,tomato olive_oil green_bell_pepper onion cheese black_pepper parmesan_cheese basil fennel garlic bell_pepper oregano mozzarella_cheese macaroni egg pork_sausage
4386,Thai,coriander fenugreek pepper apple vinegar fish cayenne pork ginger cumin bean garlic galanga vegetable_oil holy_basil corn chicken_broth turmeric
4387,American,butter cane_molasses lemon_juice cayenne carrot cinnamon
4388,English_Scottish,butter currant egg milk wheat
4389,Asian,pork green_bell_pepper beef mushroom starch chicken_broth onion pea celery garlic nut pepper vegetable_oil soy_sauce oyster
4390,Indian,lemon_juice cayenne cumin ginger garlic bell_pepper yogurt vegetable_oil chicken turmeric
4391,American,butter asparagus scallion bean mint pea
4392,Asian,turkey vinegar cane_molasses sesame_oil onion starch soy_sauce cilantro ginger scallion honey lettuce garlic nut vegetable_oil tamarind rice mint pea
4393,EasternEuropean_Russian,butter vanilla seed wheat
4394,Mexican,cocoa butter egg cream
4395,American,olive_oil cilantro lemon_juice roasted_sesame_seed feta_cheese tabasco_pepper cumin scallion garlic bell_pepper roasted_beef bread
4396,American,shallot bacon black_pepper olive_oil salmon
4397,Asian,vinegar pork wheat sesame_oil peanut soy_sauce cayenne ginger shrimp scallion
4398,Italian,butter coconut wheat vanilla buttermilk pecan cream_cheese lard vegetable egg
4399,Italian,butter wheat rhubarb starch grape_brandy milk_fat lard egg milk cream
4400,Asian,vinegar ginger scallion barley soybean vegetable_oil rice
4401,American,butter coriander pepper lemon_juice mustard fenugreek black_pepper cumin vegetable_oil chicken bread egg turmeric
4402,Mediterranean,tomato olive_oil thyme onion vinegar potato cider parsley celery garlic bell_pepper olive
4403,Southern_SoulFood,butter wheat corn cayenne chive yogurt vegetable_oil egg
4404,American,thyme onion fish black_pepper parsley bay celery carrot white_wine
4405,American,tomato onion black_bean cayenne garlic vegetable_oil chicken cheddar_cheese whole_grain_wheat_flour cream
4406,French,olive_oil wheat vanilla milk_fat hazelnut lemon egg milk
4407,Italian,olive_oil lemon parsley parmesan_cheese white_wine macaroni artichoke garlic
4408,French,butter starch cocoa milk_fat egg milk
4409,French,butter vinegar pepper beef shallot red_wine parsley vegetable_oil
4410,American,butter lemon_juice wheat vanilla banana cocoa vegetable_oil egg milk cream
4411,French,tomato olive_oil wheat thyme fish white_wine garlic vegetable bay leek
4412,American,turkey olive_oil cilantro onion avocado lime_juice honey lettuce garlic bell_pepper thai_pepper
4413,Italian,coriander olive_oil pork onion romano_cheese chicken_broth black_pepper parsley parmesan_cheese white_wine celery carrot garlic macaroni bay egg pea
4414,Irish,cane_molasses butter wheat buttermilk oat whole_grain_wheat_flour
4415,Central_SouthAmerican,butter wheat vanilla cocoa buttermilk pecan cinnamon egg milk cream
4416,American,tomato olive_oil grape_juice black_pepper basil bean garlic mozzarella_cheese bread
4417,Italian,olive_oil wheat endive beef cheese garlic
4418,American,butter lemon_juice lemon black_pepper basil fennel yogurt vegetable_oil chicken egg bread
4419,American,butter cane_molasses wheat vanilla milk cocoa milk_fat brandy cinnamon egg nut cream
4420,Italian,butter orange_peel pepper wheat citrus apricot almond cocoa honey nutmeg fig hazelnut coriander lemon_peel cinnamon
4421,American,potato shallot soy_sauce orange_juice tabasco_pepper ginger orange carrot vegetable yogurt chicken_broth
4422,Vietnamese,cilantro sesame_oil starch cayenne fish lime_juice ginger shrimp lettuce garlic bell_pepper crab vegetable_oil egg thai_pepper lime
4423,American,butter lemon_juice wheat thyme shallot chicken_broth white_wine scallop veal chive bread egg cream
4424,American,mustard thyme onion vegetable_oil egg bread
4425,Italian,butter coffee wheat vanilla cocoa cream_cheese egg cream
4426,Jewish,olive_oil meat onion black_pepper squash seed veal garlic rosemary
4427,American,cinnamon
4428,American,vinegar thyme red_wine olive bell_pepper goat_cheese roasted_beef bread
4429,Indian,coriander olive_oil coconut wheat shallot cayenne chicken_broth black_pepper cumin ginger garlic vegetable_oil tamarind rice egg fish
4430,Italian,orange_peel wheat vanilla bitter_orange brandy egg milk cream
4431,French,cane_molasses coffee vanilla nutmeg cinnamon egg cream
4432,American,tomato olive_oil fennel mustard vinegar cayenne cumin ginger fenugreek seed garlic wine
4433,American,vinegar tarragon shallot black_pepper rye_bread vegetable_oil egg pea bread
4434,Asian,vinegar sesame_oil lime_peel_oil cayenne buckwheat lime_juice mango cucumber peanut basil garlic rice mint lime
4435,American,tomato olive_oil wheat onion mushroom garlic bell_pepper veal
4436,American,butter wheat vanilla egg
4437,Italian,butter cheese coconut wheat peach almond buttermilk egg cream
4438,Spanish_Portuguese,vanilla milk rum
4439,American,butter cocoa wheat mustard onion peanut vanilla parsley honey buttermilk cucumber peanut_butter cream_cheese chive vegetable_oil egg milk cream
4440,American,olive_oil lemon_juice mustard tarragon potato corn scallion lobster endive
4441,Greek,coriander olive_oil vinegar white_wine olive bread
4442,American,olive_oil wheat onion yeast romano_cheese squash parsley nutmeg cheese
4443,Mexican,tomato cheese cilantro onion bacon cayenne beer bean garlic
4444,American,butter lemon_juice wheat vanilla banana milk_fat egg milk cream
4445,American,butter olive_oil potato chicken_broth garlic milk cream
4446,French,butter potato black_pepper nutmeg chive chicken leek cream
4447,Southwestern,tomato olive_oil cilantro clam onion potato corn cayenne cumin celery garlic bell_pepper oregano pork_sausage
4448,American,butter beef onion potato parsley bell_pepper egg cream
4449,Jewish,olive_oil cilantro carrot currant bell_pepper zucchini cinnamon
4450,French,cocoa berry vegetable_oil egg milk cream
4451,Moroccan,olive_oil wheat apricot scallion pistachio cinnamon basil
4452,Mexican,tomato pepper onion lime_juice corn cayenne cumin cilantro garlic vegetable vegetable_oil avocado
4453,Thai,radish lime_juice ginger scallion garlic cucumber mint cayenne
4454,American,vinegar lemon_juice dill shallot black_pepper shrimp champagne_wine lettuce cucumber
4455,American,cane_molasses wheat vanilla orange_juice ginger carrot nutmeg cinnamon orange vegetable_oil egg
4456,American,lamb olive_oil beef black_pepper garlic oregano rosemary
4457,American,cheese cilantro wheat corn cayenne scallion vegetable_oil egg
4458,Thai,coriander shallot mint cayenne cumin scallion lime_juice parsley vegetable_oil chicken egg bread
4459,Scandinavian,yogurt vanilla lemon cinnamon blueberry
4460,French,butter wheat tarragon onion black_pepper shrimp lard sherry egg milk
4461,American,tomato olive_oil vinegar cured_pork celery garlic oregano pimento olive chicken
4462,German,tomato vinegar mustard onion dill corn meat beer garlic butter bread celery_oil
4463,Italian,olive_oil cauliflower cheese almond cayenne parsley romano_cheese garlic olive macaroni
4464,American,butter tomato cilantro cayenne fish black_pepper scallion cream
4465,Cajun_Creole,green_bell_pepper wheat onion cayenne scallion celery vegetable_oil shrimp
4466,French,tomato olive_oil onion thyme white_wine olive fennel garlic bell_pepper basil shrimp
4467,Jewish,butter raisin apple walnut
4468,Asian,lemon_juice asparagus soy_sauce wasabi vegetable_oil egg
4469,Italian,olive_oil onion black_pepper sage carrot garlic chicken
4470,Cajun_Creole,tomato clam wheat thyme onion cayenne black_pepper garlic crab vegetable_oil
4471,MiddleEastern,olive_oil wheat yeast parsley milk_fat seed sesame_seed oregano mozzarella_cheese vegetable_oil egg milk
4472,Mediterranean,tomato olive_oil thyme dill black_pepper goat_cheese fennel bell_pepper olive egg basil
4473,French,butter cheese cilantro wheat black_pepper parsley chive swiss_cheese nutmeg crab lard vegetable egg cream
4474,American,olive_oil mustard beef vinegar shallot black_pepper sherry watercress
4475,American,turkey endive chicken_broth black_pepper parsley parmesan_cheese carrot garlic macaroni rice egg bread
4476,Mediterranean,olive_oil lemon_juice fish grape_juice garlic bell_pepper oregano lemon_peel bread
4477,American,butter potato parsley scallion milk_fat milk
4478,American,tomato cilantro onion corn cayenne bean garlic lard cheddar_cheese
4479,Central_SouthAmerican,tomato olive_oil onion black_bean cayenne corn avocado garlic bell_pepper goat_cheese egg pork_sausage
4480,American,vinegar cilantro black_pepper lime_juice vegetable_oil cabbage
4481,Mexican,wheat raisin ginger honey cinnamon vegetable_oil egg
4482,Italian,butter olive_oil pork rosemary parsley bay egg bread
4483,American,cane_molasses wheat ginger nutmeg cinnamon lard vegetable egg
4484,French,butter wheat vanilla pear brandy lard egg milk cream
4485,American,butter clam potato corn bacon scallion milk_fat milk cream
4486,American,butter olive_oil cilantro lemon_juice mustard dill cayenne corn black_pepper cumin ginger scallion seed mint
4487,French,butter cheese wheat cayenne black_pepper parmesan_cheese white_wine milk_fat nutmeg egg milk
4488,Spanish_Portuguese,turkey vinegar onion thyme olive_oil chicken_broth black_pepper bay bell_pepper white_wine rosemary
4489,Italian,tomato olive_oil wheat onion fish black_pepper parsley bay white_wine veal orange garlic lemon
4490,American,vinegar pork onion citrus corn cayenne lettuce bell_pepper
4491,American,butter lemon_juice apple cider vanilla raisin milk milk_fat pecan cinnamon nutmeg apple_brandy lemon_peel egg cream
4492,Spanish_Portuguese,chicken rice parsley onion lime
4493,Southern_SoulFood,butter wheat cream black_pepper scallion
4494,Southern_SoulFood,pepper wheat corn cumin buttermilk bell_pepper vegetable_oil egg
